ICD9CMCode,TotalDiag,dx0,dx1,dx2,dx3,dx4,dx5,dx6,dx7,dx8,dx9,dx10,dx11,dx12,dx13,dx14,dx15,dx16,dx17,dx18,dx19,dx20,dx21,dx22,dx23,dx24
041.10,1846,1,148,143,149,155,139,126,135,102,80,83,60,62,69,54,57,55,37,35,30,31,27,23,26,19
041.11,13495,8,1262,1320,1185,1131,1095,1024,893,736,628,608,494,443,409,358,324,280,253,197,199,150,148,143,119,88
041.12,18270,18,1831,1572,1470,1392,1356,1280,1163,946,902,816,754,631,581,551,462,402,403,343,302,290,250,215,189,151
041.19,3901,4,172,242,324,340,352,317,231,252,194,206,161,147,114,122,107,110,99,76,54,66,63,58,48,42
041.2,211,,11,11,24,13,12,18,21,16,16,6,9,6,11,10,5,3,1,6,3,2,2,3,,2
041.3,11646,6,287,679,701,842,985,834,809,696,625,556,569,454,494,437,389,379,356,272,294,225,225,200,181,151
041.41,58,,18,5,6,3,5,2,,3,4,1,,1,1,5,,,,1,,1,,,1,1
041.42,18,,2,1,2,1,2,2,1,,1,2,,,2,,,,1,,,,,,1,
041.43,27,2,5,3,1,3,2,2,2,1,,1,1,,,,,1,1,,1,,,1,,
041.49,48256,8,2341,2905,3447,3800,4381,3714,3530,3105,2806,2508,2249,1985,1707,1593,1378,1206,1050,922,837,717,650,540,500,377
